"Peak#","Ret_Time","Area","Conc_ug/mL extract","Dilution","CorrConc_ug /mL biodiesel","%FAME","Lab_Tag","Treatment_ID","Type"
"C20:1 (Z11)",19.848,22862040,146.842480137559,100,14684.2480137559,0.0289758517212187,"Fat2_B2","High fat","SAE"
"C22:0",22.874,55931497,356.319506840923,100,35631.9506840923,0.0703111333037173,"Fat2_B2","High fat","SAE"
"C22:2 ???",25.727,14059078,91.2144601465231,100,9121.44601465231,0.0179989923185767,"Fat2_B2","High fat","SAE"
"C24:0",26.08,18114483,117.478498816873,100,11747.8498816873,0.023181572246398,"Fat2_B2","High fat","SAE"
"Unknown 4",26.777,8547826,54.2462688540193,100,5424.62688540193,0.0107042038602928,"Fat2_B2","High fat","SAE"
"C4:0",2.317,2801930,19.2664095119005,100,1926.64095119005,0.00379169307830266,"Fat3_B1","Low fat","SAE"
"C6:0",3.672,7213349,50.4317232901681,100,5043.17232901681,0.00992512984882272,"Fat3_B1","Low fat","SAE"
"C8:0",5.105,5565849,38.7926442433362,100,3879.26442433362,0.0076345206186789,"Fat3_B1","Low fat","SAE"
"C10:0",6.447,13957977,98.0804385760408,100,9808.04385760408,0.0193025545229875,"Fat3_B1","Low fat","SAE"
"Unknown 1",6.799,1596086,10.7474938007333,100,1074.74938007333,0.00211514230651902,"Fat3_B1","Low fat","SAE"
"C12:0",8.072,18729734,131.791429116419,100,13179.1429116419,0.0259369888951898,"Fat3_B1","Low fat","SAE"
"C14:0",10.324,62880709,443.70444157147,100,44370.444157147,0.0873225007949463,"Fat3_B1","Low fat","SAE"
"C14:1 (Z9)",10.752,5638189,0,100,0,0,"Fat3_B1","Low fat","SAE"
"C15:0",11.635,7540196,49.950833384336,100,4995.0833384336,0.00983048912574234,"Fat3_B1","Low fat","SAE"
"C16:0",13.169,218357921,1483.58763286207,100,148358.763286207,0.291974950241969,"Fat3_B1","Low fat","SAE"
"C16:1 (Z9)",13.45,11805565,71.6983967322971,100,7169.83967322971,0.0141104814805959,"Fat3_B1","Low fat","SAE"
"Unknown 2",13.579,6751119,37.346425440236,100,3734.6425440236,0.00734989997765914,"Fat3_B1","Low fat","SAE"
"C17:0",14.589,3749389,24.1210818023874,100,2412.10818023874,0.00474710863250321,"Fat3_B1","Low fat","SAE"
"C18:0",16.206,73021151,481.731960601677,100,48173.1960601677,0.0948064422425105,"Fat3_B1","Low fat","SAE"
"C18:1 (Z9)",16.473,144396580,972.83825278482,100,97283.825278482,0.191457783927712,"Fat3_B1","Low fat","SAE"
"Unknown 3",16.724,12010829,73.0934503218089,100,7309.34503218089,0.0143850326384516,"Fat3_B1","Low fat","SAE"
"C18:2 (Z9,12)",17.09,21562452,141.279007699801,100,14127.9007699801,0.027804175722203,"Fat3_B1","Low fat","SAE"
